iter	Passed	Remaining
0	6	6217
1	10	502222	14	475033	19	480944	24	477655	28	472866	32	459177	37	465588	42	465799	46	4579110	50	4578111	55	4579112	59	4543113	64	4531114	68	4506115	72	4482116	77	4479117	82	4476
18	86	4459
19	90	4423
20	95	4436
21	100	4448
22	104	4457
23	109	4448
24	112	4396
25	118	4440
26	123	4446
27	127	4442
28	132	4430
29	136	4420
30	140	4400
31	145	4401
32	150	4423
33	156	4448
34	161	4456
35	166	4459
36	172	4488
37	177	4503
38	182	4498
39	188	4526
40	193	4528
41	198	4537
42	204	4560
43	211	4595
44	218	4642
45	225	4677
46	232	4706
47	239	4752
48	246	4780
49	253	4822
50	261	4869
51	268	4902
52	274	4912
53	280	4913
54	285	4898
55	290	4888
56	295	4895
57	301	4903
58	307	4904
59	313	4904
60	319	4961	61	326	4962	62	332	4963	63	340	4964	64	347	4965	65	354	5066	66	363	5067	67	373	5168	68	380	5169	69	386	5170	70	392	5171	71	398	5172	72	404	5173	73	409	5174	74	415	5175	75	421	5176	76	428	5177	77	434	5178	78	440	5179	452	5208
80	461	5230
81	467	5233
82	474	5246
83	486	5307
84	495	5338
85	504	5363
86	516	5419
87	529	5486
88	536	5495
89	550	5565
90	558	5580
91	567	5603
92	576	5626
93	584	5633
94	596	5686
95	609	5743
96	624	5812
97	630	5805
98	649	5909
99	660	5946
100	672	5986
101	680	5992
102	694	6047
103	708	6100
104	734	6264
105	751	6341
106	764	6383
107	775	6401
108	786	6431
109	793	6420
110	797	6389
111	815	6469
112	830	6517
113	843	6557
114	854	6575
115	869	6624
116	877	6620
117	891	6659
118	909	6730
119	923	6769
120	933	6781
121	950	6840
122	963	6867
123	981	6932
124	994	6963
125	1007	6988
126	1017	6993
127	1024	6982
128	1031	6967
129	1039	6957
130	1050	6970
131	1074	7066
132	1087	7089
133	1114	7202
134	1134	7269
135	1146	7283
136	1170	7370
137	1204	7520
138	1230	7619
139	1262	7753
140	1280	7800
141	1301	7864
142	1312	7867
143	1328	7896
144	1344	7929
145	1361	7964
146	1380	8007
147	1399	8058
148	1416	8087
149	1443	8181
150	1460	8213
151	1484	8281
152	1510	8361
153	1530	8406
154	1552	8461
155	1582	8562
156	1609	8643
157	1633	8706
158	1652	8741
159	1680	8825
160	1703	8879
161	1727	8934
162	1744	8956
163	1755	8949
164	1768	8948
165	1778	8935
166	1790	8929
167	1801	8923
168	1810	8903
169	1825	8913
170	1839	8918
171	1851	8915
172	1862	8903
173	1874	8899
174	1887	8899
175	1907	8931
176	1927	8962
177	1945	8983
178	1956	8974
179	1973	8990
180	1984	8980
181	2000	8989
182	2012	8983
183	2024	8977
184	2033	8960
185	2044	8948
186	2061	8964
187	2074	8958
188	2092	8977
189	2113	9009
190	2128	9015
191	2135	8986
192	2149	8989
193	2172	9026
194	2180	9002
195	2196	9009
196	2210	9009
197	2221	9000
198	2244	9033
199	2259	9039
200	2274	9041
201	2286	9032
202	2296	9016
203	2309	9013
204	2317	8986
205	2329	8979
206	2345	8985
207	2360	8986
208	2375	8988
209	2387	8982
210	2415	9033
211	2433	9046
212	2445	9036
213	2465	9055
214	2474	9034
215	2489	9036
216	2507	9047
217	2514	9021
218	2525	9005
219	2531	8977
220	2540	8956
221	2545	8920
222	2554	8899
223	2561	8873
224	2566	8841
225	2576	8823
226	2585	8803
227	2591	8774
228	2599	8752
229	2609	8737
230	2617	8713
231	2627	8697
232	2638	8683
233	2648	8670
234	2654	8639
235	2659	8608
236	2674	8611
237	2681	8585
238	2688	8560
239	2694	8532
240	2706	8523
241	2714	8502
242	2723	8485
243	2730	8461
244	2738	8437
245	2747	8419
246	2757	8407
247	2763	8379
248	2769	8353
249	2776	8330
250	2782	8304
251	2789	8281
252	2795	8254
253	2801	8226
254	2807	8201
255	2813	8175
256	2820	8153
257	2825	8127
258	2832	8103
259	2838	8078
260	2844	8053
261	2850	8028
262	2855	8002
263	2861	7976
264	2866	7950
265	2876	7936
266	2884	7919
267	2891	7896
268	2900	7881
269	2904	7854
270	2910	7829
271	2916	7804
272	2922	7781
273	2927	7756
274	2933	7732
275	2938	7708
276	2943	7682
277	2949	7661
278	2954	7634
279	2958	7608
280	2963	7582
281	2967	7556
282	2972	7531
283	2977	7506
284	2982	7482
285	2986	7455
286	2991	7431
287	2996	7407
288	3001	7385
289	3007	7361
290	3011	7337
291	3015	7312
292	3019	7287
293	3025	7266
294	3030	7242
295	3035	7219
296	3040	7196
297	3045	7173
298	3049	7149
299	3054	7127
300	3058	7103
301	3063	7080
302	3068	7058
303	3073	7037
304	3078	7014
305	3082	6991
306	3086	6967
307	3092	6947
308	3098	6929
309	3106	6914
310	3118	6908
311	3123	6887
312	3130	6871
313	3136	6852
314	3142	6834
315	3151	6821
316	3157	6802
317	3164	6785
318	3171	6770
319	3176	6750
320	3184	6736
321	3189	6716
322	3194	6696
323	3200	6678
324	3205	6658
325	3209	6636
326	3214	6614
327	3218	6594
328	3224	6577
329	3230	6558
330	3234	6537
331	3239	6518
332	3244	6498
333	3250	6481
334	3255	6462
335	3262	6446
336	3268	6429
337	3273	6412
338	3279	6395
339	3286	6378
340	3291	6360
341	3296	6342
342	3301	6324
343	3307	6307
344	3313	6290
345	3318	6271
346	3323	6254
347	3329	6237
348	3335	6221
349	3341	6205
350	3347	6188
351	3352	6172
352	3358	6155
353	3364	6139
354	3370	6123
355	3376	6107
356	3382	6092
357	3388	6076
358	3393	6059
359	3399	6043
360	3405	6027
361	3411	6011
362	3417	5996
363	3422	5980
364	3428	5964
365	3433	5948
366	3440	5933
367	3445	5917
368	3451	5901
369	3456	5885
370	3462	5869
371	3467	5853
372	3472	5837
373	3477	5820
374	3483	5805
375	3488	5789
376	3494	5774
377	3500	5759
378	3506	5745
379	3511	5729
380	3517	5714
381	3523	5700
382	3529	5685
383	3535	5671
384	3541	5657
385	3546	5641
386	3551	5625
387	3556	5610
388	3562	5596
389	3568	5581
390	3575	5568
391	3580	5553
392	3586	5538
393	3592	5525
394	3598	5511
395	3604	5497
396	3610	5483
397	3615	5468
398	3621	5454
399	3626	5440
400	3632	5425
401	3637	5410
402	3642	5396
403	3648	5382
404	3654	5368
405	3660	5354
406	3666	5341
407	3672	5328
408	3677	5313
409	3682	5299
410	3688	5285
411	3694	5272
412	3698	5256
413	3703	5241
414	3708	5227
415	3713	5213
416	3718	5199
417	3723	5184
418	3729	5171
419	3734	5156
420	3740	5144
421	3746	5130
422	3751	5117
423	3756	5103
424	3762	5090
425	3767	5076
426	3773	5063
427	3778	5049
428	3783	5035
429	3788	5022
430	3794	5009
431	3799	4996
432	3804	4982
433	3809	4968
434	3815	4956
435	3821	4943
436	3827	4930
437	3832	4918
438	3838	4905
439	3843	4891
440	3849	4879
441	3854	4865
442	3859	4852
443	3864	4838
444	3869	4825
445	3874	4812
446	3879	4799
447	3885	4787
448	3890	4773
449	3894	4760
450	3900	4747
451	3905	4734
452	3911	4723
453	3916	4710
454	3922	4698
455	3928	4686
456	3932	4672
457	3937	4660
458	3942	4646
459	3947	4633
460	3952	4621
461	3957	4608
462	3962	4596
463	3968	4584
464	3973	4571
465	3978	4558
466	3982	4545
467	3987	4533
468	3993	4521
469	3998	4508
470	4003	4496
471	4008	4483
472	4013	4472
473	4019	4460
474	4024	4448
475	4030	4436
476	4034	4424
477	4040	4412
478	4045	4400
479	4050	4387
480	4055	4375
481	4060	4363
482	4065	4351
483	4070	4339
484	4076	4328
485	4081	4316
486	4086	4305
487	4092	4293
488	4097	4281
489	4102	4270
490	4108	4259
491	4114	4247
492	4119	4236
493	4124	4224
494	4128	4212
495	4133	4200
496	4138	4188
497	4143	4176
498	4148	4165
499	4153	4153
500	4159	4143
501	4164	4131
502	4170	4120
503	4175	4109
504	4181	4098
505	4186	4087
506	4191	4076
507	4196	4064
508	4201	4053
509	4207	4042
510	4212	4030
511	4216	4019
512	4221	4007
513	4227	3997
514	4233	3986
515	4238	3975
516	4243	3964
517	4248	3953
518	4254	3942
519	4258	3931
520	4263	3919
521	4268	3908
522	4273	3897
523	4279	3887
524	4284	3876
525	4290	3865
526	4295	3855
527	4300	3844
528	4305	3833
529	4310	3822
530	4315	3811
531	4320	3800
532	4325	3790
533	4331	3779
534	4336	3768
535	4341	3758
536	4345	3746
537	4350	3735
538	4355	3724
539	4359	3713
540	4364	3702
541	4368	3691
542	4374	3681
543	4379	3670
544	4384	3660
545	4389	3649
546	4394	3639
547	4400	3629
548	4404	3618
549	4410	3608
550	4415	3598
551	4421	3588
552	4426	3577
553	4430	3567
554	4435	3556
555	4440	3546
556	4446	3536
557	4451	3526
558	4457	3516
559	4462	3506
560	4467	3495
561	4472	3485
562	4477	3475
563	4482	3465
564	4487	3455
565	4493	3445
566	4498	3435
567	4503	3425
568	4508	3415
569	4514	3405
570	4519	3395
571	4524	3385
572	4530	3375
573	4536	3366
574	4541	3356
575	4547	3347
576	4553	3337
577	4558	3328
578	4564	3318
579	4569	3309
580	4574	3299
581	4579	3289
582	4585	3279
583	4590	3270
584	4597	3261
585	4601	3251
586	4607	3241
587	4612	3232
588	4619	3223
589	4624	3213
590	4629	3203
591	4633	3193
592	4638	3183
593	4644	3174
594	4648	3164
595	4653	3154
596	4659	3145
597	4664	3135
598	4669	3125
599	4674	3116
600	4678	3106
601	4684	3096
602	4688	3086
603	4693	3077
604	4698	3067
605	4703	3058
606	4708	3048
607	4713	3039
608	4719	3029
609	4724	3020
610	4729	3011
611	4734	3001
612	4739	2992
613	4744	2982
614	4749	2973
615	4754	2964
616	4760	2954
617	4765	2945
618	4770	2936
619	4775	2926
620	4780	2917
621	4786	2908
622	4790	2899
623	4795	2889
624	4800	2880
625	4805	2871
626	4810	2861
627	4815	2852
628	4820	2843
629	4825	2833
630	4830	2824
631	4836	2816
632	4841	2806
633	4846	2797
634	4851	2788
635	4856	2779
636	4861	2770
637	4866	2761
638	4871	2752
639	4877	2743
640	4882	2734
641	4887	2725
642	4892	2716
643	4897	2707
644	4902	2698
645	4907	2689
646	4912	2680
647	4916	2670
648	4921	2661
649	4927	2653
650	4932	2644
651	4937	2635
652	4942	2626
653	4947	2617
654	4952	2608
655	4958	2599
656	4963	2591
657	4967	2581
658	4972	2572
659	4977	2564
660	4982	2555
661	4987	2546
662	4992	2537
663	4996	2528
664	5001	2519
665	5006	2510
666	5011	2501
667	5016	2493
668	5021	2484
669	5026	2475
670	5031	2467
671	5037	2458
672	5042	2450
673	5047	2441
674	5052	2432
675	5057	2424
676	5063	2415
677	5067	2406
678	5073	2398
679	5078	2390
680	5084	2381
681	5090	2373
682	5094	2364
683	5100	2356
684	5105	2347
685	5111	2339
686	5116	2330
687	5121	2322
688	5127	2314
689	5132	2305
690	5137	2297
691	5143	2289
692	5148	2280
693	5153	2272
694	5159	2264
695	5164	2255
696	5170	2247
697	5175	2239
698	5181	2231
699	5186	2222
700	5192	2214
701	5197	2206
702	5202	2197
703	5207	2189
704	5213	2181
705	5218	2173
706	5224	2165
707	5229	2156
708	5235	2148
709	5241	2140
710	5246	2132
711	5252	2124
712	5258	2116
713	5263	2108
714	5268	2100
715	5274	2092
716	5279	2083
717	5284	2075
718	5289	2067
719	5294	2059
720	5300	2051
721	5306	2043
722	5310	2034
723	5316	2026
724	5322	2018
725	5327	2010
726	5332	2002
727	5338	1994
728	5342	1986
729	5348	1978
730	5353	1970
731	5359	1962
732	5365	1954
733	5370	1946
734	5375	1938
735	5381	1930
736	5386	1922
737	5392	1914
738	5397	1906
739	5402	1898
740	5408	1890
741	5413	1882
742	5419	1874
743	5425	1866
744	5430	1858
745	5435	1850
746	5440	1842
747	5447	1835
748	5452	1827
749	5458	1819
750	5464	1811
751	5469	1803
752	5475	1795
753	5480	1787
754	5485	1780
755	5491	1772
756	5496	1764
757	5501	1756
758	5506	1748
759	5512	1740
760	5517	1732
761	5522	1724
762	5528	1717
763	5534	1709
764	5540	1701
765	5546	1694
766	5551	1686
767	5556	1678
768	5562	1671
769	5567	1663
770	5573	1655
771	5579	1647
772	5584	1640
773	5590	1632
774	5595	1624
775	5601	1616
776	5607	1609
777	5613	1601
778	5619	1594
779	5624	1586
780	5632	1579
781	5637	1571
782	5643	1563
783	5649	1556
784	5655	1548
785	5661	1541
786	5666	1533
787	5671	1525
788	5676	1518
789	5682	1510
790	5687	1502
791	5693	1495
792	5698	1487
793	5704	1479
794	5709	1472
795	5715	1464
796	5720	1457
797	5725	1449
798	5730	1441
799	5735	1433
800	5741	1426
801	5746	1418
802	5752	1411
803	5758	1403
804	5763	1396
805	5768	1388
806	5774	1380
807	5779	1373
808	5784	1365
809	5790	1358
810	5795	1350
811	5800	1342
812	5806	1335
813	5811	1327
814	5817	1320
815	5822	1312
816	5827	1305
817	5833	1297
818	5838	1290
819	5843	1282
820	5848	1275
821	5854	1267
822	5859	1260
823	5865	1252
824	5870	1245
825	5875	1237
826	5881	1230
827	5886	1222
828	5891	1215
829	5896	1207
830	5901	1200
831	5907	1192
832	5912	1185
833	5918	1177
834	5923	1170
835	5929	1163
836	5934	1155
837	5940	1148
838	5946	1141
839	5951	1133
840	5956	1126
841	5961	1118
842	5966	1111
843	5971	1103
844	5976	1096
845	5982	1089
846	5988	1081
847	5993	1074
848	5997	1066
849	6002	1059
850	6007	1051
851	6012	1044
852	6017	1037
853	6022	1029
854	6028	1022
855	6032	1014
856	6038	1007
857	6043	1000
858	6048	992
859	6053	985
860	6058	978
861	6063	970
862	6068	963
863	6073	955
864	6077	948
865	6082	941
866	6087	933
867	6091	926
868	6096	918
869	6100	911
870	6104	904
871	6109	896
872	6113	889
873	6119	882
874	6123	874
875	6128	867
876	6133	860
877	6137	852
878	6142	845
879	6146	838
880	6151	830
881	6156	823
882	6161	816
883	6166	809
884	6171	801
885	6176	794
886	6181	787
887	6186	780
888	6191	773
889	6195	765
890	6199	758
891	6204	751
892	6208	743
893	6213	736
894	6218	729
895	6223	722
896	6227	715
897	6232	707
898	6238	700
899	6242	693
900	6246	686
901	6251	679
902	6256	672
903	6261	664
904	6265	657
905	6269	650
906	6274	643
907	6278	636
908	6282	628
909	6287	621
910	6291	614
911	6296	607
912	6300	600
913	6305	593
914	6310	586
915	6314	579
916	6318	571
917	6323	564
918	6327	557
919	6330	550
920	6335	543
921	6339	536
922	6343	529
923	6347	522
924	6351	514
925	6355	507
926	6358	500
927	6363	493
928	6369	486
929	6372	479
930	6376	472
931	6380	465
932	6384	458
933	6388	451
934	6392	444
935	6396	437
936	6400	430
937	6404	423
938	6408	416
939	6411	409
940	6416	402
941	6419	395
942	6423	388
943	6428	381
944	6432	374
945	6436	367
946	6440	360
947	6444	353
948	6448	346
949	6452	339
950	6457	332
951	6460	325
952	6464	318
953	6468	311
954	6473	305
955	6478	298
956	6482	291
957	6486	284
958	6490	277
959	6494	270
960	6498	263
961	6502	256
962	6505	249
963	6509	243
964	6513	236
965	6516	229
966	6520	222
967	6525	215
968	6528	208
969	6532	202
970	6537	195
971	6542	188
972	6547	181
973	6553	174
974	6559	168
975	6564	161
976	6567	154
977	6571	147
978	6574	141
979	6580	134
980	6586	127
981	6609	121
982	6613	114
983	6616	107
984	6619	100
985	6624	94
986	6629	87
987	6632	80
988	6635	73
989	6638	67
990	6642	60
991	6645	53
992	6648	46
993	6651	40
994	6654	33
995	6657	26
996	6660	20
997	6663	13
998	6666	6
999	6669	0
